№ п/п	код дороги	Идентификационный номер	Значение дороги	Наименование района	Наименование автомобильной дороги	Категория автомо-бильной дороги	Адрес начала участка, км	Адрес конца участка, км	общая	асфальто-бетон	бетон и железо- бетон	щебень	грунт
11.	9730808	73 222 ОП МЗ Н-009	Межмуниципальное	Мелекесский	" ""Димитровград-Узюково-Тольятти""-Мордово Озеро"	IV	0	6.2	6.2	6.2			
12.	9730809	73 222 ОП МЗ Н-010	Межмуниципальное	Мелекесский	 Еремкино-Березовка	IV	0	7.691	7.691	7.691			
13.	9730810	73 222 ОП МЗ Н-011	Межмуниципальное	Мелекесский	 Димитровград-Лесная Хмелевка-граница области	IV	1.5	42.684	41.184	41.184			
14.	9730811	73 222 ОП МЗ Н-012	Межмуниципальное	Мелекесский	 Димитровград-п. Дачный-Русский Мелекесс	IV	0	7.4	7.4	7.4			
15.	9730812	73 222 ОП МЗ Н-013	Межмуниципальное	Мелекесский	 Димитровград-Старая Сахча	IV	1.39	32.645	31.255	31.255			
16.	9730813	73 222 ОП МЗ Н-014	Межмуниципальное	Мелекесский	 Мулловка-Никольское	IV	0	27.498	27.498	27.498			
17.	9730814	73 222 ОП МЗ Н-015	Межмуниципальное	Мелекесский	" ""Мулловка-Никольское""-Ерыклинск"	IV	0	8.2	8.2	8.2			
18.	9730815	73 222 ОП МЗ Н-016	Межмуниципальное	Мелекесский	" ""Димитровград-Лесная Хмелевка""-Тинарка"	IV	0	3.8	3.8	3.8			
19.	9730816	73 222 ОП МЗ Н-017	Межмуниципальное	Мелекесский	" ""Алексеевское-Высокий Колок""-Аппаково"	IV	0	2	2	2			
20.	9730817	73 222 ОП МЗ Н-018	Межмуниципальное	Мелекесский	" ""Алексеевское-Высокий Колок""-Новая Сахча"	IV	0	3	3	3			
21.	9730818	73 222 ОП МЗ Н-019	Межмуниципальное	Мелекесский	" ""Ульяновск-Димитровград-Самара""-Малые Аврали"	IV	0	1.1	1.1	1.1			
22.	9730819	73 222 ОП МЗ Н-020	Межмуниципальное	Мелекесский	" ""Димитровград-Чувашский Сускан""-Воля"	IV	0	2	2	2			
23.	9730820	73 222 ОП МЗ Н-021	Межмуниципальное	Мелекесский	 Дивный-Дубравка-граница области	IV	0	12.54	12.54	12.54			
24.	9730821	73 222 ОП МЗ Н-022	Межмуниципальное	Мелекесский	" ""Дивный - Новоселки""- Вишенка"	IV	0	3.16	3.16	3.16			
25.	9730822	73 222 ОП МЗ Н-023	Межмуниципальное	Мелекесский	 Подъезд к с.Новая Бирля	IV	0	3	3	3			
26.	9730823	73 222 ОП МЗ Н-024	Межмуниципальное	Мелекесский	 Аврали-Сабакаево	IV	0	1.1	1.1	1.1			
27.	9732101	73 256 ОП МЗ Н-001	Межмуниципальное	Мелекесский	 Бряндино-Еремкино	IV	3.8	9.7	5.9	5.9			
28.		73 222 ОП МЗ Н-025	Межмуниципальное	Мелекесский	Дивный – Уткин –  Новосёлки		0	18.9	18.9	18.9			
29.		73 222 ОП МЗ Н-026	Межмуниципальное	Мелекесский	п. Новосёлки – п. Ковыльный		0	16.761	16.761	16.761			
30.		73 222 ОП МЗ Н-027	Межмуниципальное	Мелекесский	«Новосёлки –Ковыльный» – Просторы		0	9.847	9.847	9.847			
31.		73 222 ОП МЗ Н-028	Межмуниципальное	Мелекесский	«Ульяновск – Димитровград – Самара» – г. Димитровград		0	15.381	15.381	15.381			
Итого по Мелекесскому району									354.698	354.698	0	0	0
1.	4001434	73 ОП РЗ К-1434	Региональное	Николаевский	 Бестужевка-Барыш-Николаевка-Павловка-граница области	III	86.2	141.09	54.55	54.55			
2.	9730901	73 225 ОП МЗ Н-001	Межмуниципальное	Николаевский	 Славкино-Андреевка	IV	0	9	9	9			
3.	9730902	73 225 ОП МЗ Н-002	Межмуниципальное	Николаевский	" М-5 ""Урал""-Ахметлей"	IV	0	13.467	13.467	13.467			
4.	9730903	73 225 ОП МЗ Н-003	Межмуниципальное	Николаевский	" М-5 ""Урал""-Большой Чирклей"	IV	0	2	2	2			
5.	9730904	73 225 ОП МЗ Н-004	Межмуниципальное	Николаевский	" ""Бестужевка-Барыш-Николаевка-Павловка-граница области""-асфальтобетонный завод"	IV	0	1.5	1.5	1.5			
6.	9730906	74 225 ОП МЗ Н-005	Межмуниципальное	Николаевский	" М-5 ""Урал""-Канадей"	IV	0	3.126	3.126	3.126			
7.	9730907	73 225 ОП МЗ Н-006	Межмуниципальное	Николаевский	 Барановка-Телятниково	IV	0	7.3	7.3	7.3			
8.	9730908	73 225 ОП МЗ Н-007	Межмуниципальное	Николаевский	 Тепловка-Канасаево	IV	0	12	12			12	
9.	9730909	73 225 ОП МЗ Н-008	Межмуниципальное	Николаевский	" ""Бестужевка-Барыш-Николаевка-Павловка-граница области""-Топорнино"	IV	0	10.074	10.074	10.074			
10.	9730910	73 225 ОП МЗ Н-009	Межмуниципальное	Николаевский	" ""Бестужевка-Барыш-Николаевка-Павловка-граница области""-Поника"	IV	0	2.17	2.17	2.17			
11.	9730911	73 225 ОП МЗ Н-010	Межмуниципальное	Николаевский	" ""Бестужевка-Барыш-Николаевка-Павловка-граница области""-Давыдовка"	IV	0	0.9	0.9	0.9			
12.	9730912	73 225 ОП МЗ Н-011	Межмуниципальное	Николаевский	" ""Бестужевка-Барыш-Николаевка-Павловка-граница области""-Барановка"	IV	0	1.62	1.62	1.62			
13.	9730913	73 225 ОП МЗ Н-012	Межмуниципальное	Николаевский	 Барановка-Балдасево	IV	0	3.2	3.2	0.6		2.6	
14.	9730914	73 225 ОП МЗ Н-013	Межмуниципальное	Николаевский	" М-5 ""Урал""-Белокаменка"	IV	0	8.2	8.2	4		4.2	
15.	9730915	73 225 ОП МЗ Н-014	Межмуниципальное	Николаевский	" М-5 ""Урал""-Сухая Терешка"	IV	0	17.888	16.088	16.088			
16.	9730916	73 225 ОП МЗ Н-015	Межмуниципальное	Николаевский	" М-5 ""Урал""-Белое Озеро"	IV	0	14.13	14.13	14.13			
17.	9730917	73 225 ОП МЗ Н-016	Межмуниципальное	Николаевский	" ""Бестужевка-Барыш-Николаевка-Павловка-граница области""-Поспеловка-Эзекеево"	IV	0	6.519	6.519			6.519	
18.	9730918	73 225 ОП МЗ Н-017	Межмуниципальное	Николаевский	 Татарский Сайман-Тепловка	IV	0	25.129	25.129	9.06		15.29	0.779
19.	9730919	73 225 ОП МЗ Н-018	Межмуниципальное	Николаевский	 Прасковьино-Тепловка	IV	0	14.652	14.652	14.652			
20.	9730920	73 225 ОП МЗ Н-019	Межмуниципальное	Николаевский	" М-5 ""Урал""-Ахметлей""-Рызлей"	IV	0	2	2	0.8		1.2	
21.	9730921	73 225 ОП МЗ Н-020	Межмуниципальное	Николаевский	" М-5 ""Урал""-Белое Озеро""-Дубровка-Сосновка"	IV	0	7.6	7.6	2.475		5.125	
22.	9730922	73 225 ОП МЗ Н-021	Межмуниципальное	Николаевский	Николаевка – Фёдоровка	IV	0	1.614	1.614	1.614			
23.	9730923	73 225 ОП МЗ Н-022	Межмуниципальное	Николаевский	 Сухая Терешка-Русские Зимницы	IV	0	9.3	9.3			9.3	
24.	9731111	73 229 ОП МЗ Н-011	Межмуниципальное	Николаевский	" М-5 ""Урал""-Новая Лава"	IV	1.9	5.8	3.9	3.9			
25.	9731501	73 239 ОП МЗ Н-002	Межмуниципальное	Николаевский	 Старая Кулатка-Сухая Терешка	IV	27.764	32.701	4.937	4.937			
26.	9731501	73 225 ОП МЗ Н-023	Межмуниципальное	Николаевский	" М-5 ""Урал""-Сухая Терешка""-Дуровка"	V	0	2	2			2	
27.		73 225 ОП МЗ Н-024	Межмуниципальное	Николаевский	«Бестужевка –Барыш – Николаевка – Павловка» – р.п. Николаевка		0	2.844	2.844	2.844			
Итого по Николаевскому району									239.82	180.807	0	59.834	0.779
													
2.	3000240	73 ОП РЗ Р-240	Региональное	Новомалыклинский	 Алексеевское-Высокий Колок	III	118.5	148.664	30.164	30.164			
3.	4001436	73 ОП РЗ К-1436	Региональное	Новомалыклинский	" ""Ульяновск-Димитровград-Самара""-Новая Малыкла"	IV	0	7.159	7.159	7.159			
4.	9731001	73 227 ОП МЗ Н-001	Межмуниципальное	Новомалыклинский	" ""Ульяновск-Димитровград-Самара""-Средняя Якушка"	IV	0	1.124	1.124	1.124			
5.	9731002	73 227 ОП МЗ Н-002	Межмуниципальное	Новомалыклинский	" ""Ульяновск-Димитровград-Самара""-Верхняя Якушка"	IV	0	2.9	2.9	2.9			
6.	9731003	73 227 ОП МЗ Н-003	Межмуниципальное	Новомалыклинский	" ""Ульяновск-Димитровград-Самара""-Елховый Куст"	IV	0	6	6	6			
7.	9731004	73 227 ОП МЗ Н-004	Межмуниципальное	Новомалыклинский	" ""Ульяновск-Димитровград-Самара""-Абдреево"	IV	0	8.6	8.6	8.6			
8.	9731005	73 227 ОП МЗ Н-005	Межмуниципальное	Новомалыклинский	" ""Ульяновск-Димитровград-Самара""-Нижняя Якушка-Старая Малыкла"	IV	0	7.08	7.08	7.08			
9.	9731006	73 227 ОП МЗ Н-006	Межмуниципальное	Новомалыклинский	" ""Алексеевское-Высокий Колок""-Эчкаюн"	IV	0	3.9	3.9	3.9			
10.	9731007	73 227 ОП МЗ Н-007	Межмуниципальное	Новомалыклинский	" ""Алексеевское-Высокий Колок""-Новая Бесовка"	IV	0	2.5	2.5	2.5			
11.	9731008	73 227 ОП МЗ Н-008	Межмуниципальное	Новомалыклинский	" ""Алексеевское-Высокий Колок""-Старая Бесовка"	IV	0	1.5	1.5	1.5			
12.	9731009	73 227 ОП МЗ Н-009	Межмуниципальное	Новомалыклинский	" ""Алексеевское-Высокий Колок""-Новая Куликовка"	IV	0	1.4	1.4	1.4			
13.	9731010	73 227 ОП МЗ Н-010	Межмуниципальное	Новомалыклинский	 Новая Малыкла-Новочеремшанск	IV	0	27.319	27.319	27.319			
14.		73 227 ОП МЗ Н-011	Межмуниципальное	Новомалыклинский	«Алексеевское-Высокий Колок»-Старый Сантимир		0	4.54	4.54	4.54			
15.		73 222 ОП МЗ Н-028	Межмуниципальное	Новомалыклинский	«Ульяновск – Димитровград – Самара» – г. Димитровград		15.381	20.44	5.059	5.059			
Итого по Новомалыклинскому району									109.205	109.205	0	0	0
1.	4001427	73 ОП РЗ К-1427	Региональное	Новоспасский	 Солдатская Ташла-Кузоватово-Новоспасское-Радищево-Старая Кулатка-граница области	IV	100.37	139.72	39.35	39.35			
2.	9731101	73 229 ОП МЗ Н-001	Межмуниципальное	Новоспасский	" М-5 ""Урал""-Самайкино"	IV	0	14.91	14.91	14.91			
3.	9731102	73 229 ОП МЗ Н-002	Межмуниципальное	Новоспасский	 Новоспасское-Садовое	IV	0	4.988	4.988	4.988			
4.	9731103	73 229 ОП МЗ Н-003	Межмуниципальное	Новоспасский	" ""Солдатская Ташла-Кузоватово-Новоспасское-Радищево-Старая Кулатка-граница области""-Суруловка"	IV	0	6.8	6.8	6.8			
5.	9731104	73 229 ОП МЗ Н-004	Межмуниципальное	Новоспасский	" ""Солдатская Ташла-Кузоватово-Новоспасское-Радищево-Старая Кулатка-граница области""-ретранслятор"	IV	0	5.545	5.545	5.545			
6.	9731105	73 229 ОП МЗ Н-005	Межмуниципальное	Новоспасский	 Новоспасское-Марьевка	IV	0	28.87	28.87	14.559		14.311	
7.	9731106	73 229 ОП МЗ Н-006	Межмуниципальное	Новоспасский	" М-5 ""Урал""-Репьевка"	IV	0	11.005	11.005	11.005			
8.	9731107	73 229 ОП МЗ Н-007	Межмуниципальное	Новоспасский	 Красный-Васильевка	IV	0	8	8	8			
9.	9731108	73 229 ОП МЗ Н-008	Межмуниципальное	Новоспасский	 Красный-Бестужево	IV	0	10.1	10.1	10.1			
10.	9731109	73 229 ОП МЗ Н-009	Межмуниципальное	Новоспасский	" М-5 ""Урал""- станция Коптевка"	IV	0	1.973	1.973	1.973			
11.	9731110	73 229 ОП МЗ Н-010	Межмуниципальное	Новоспасский	"М-5 ""Урал""-комплекс колхоза ""Заветы Ильича"" (Коптевка)"	IV	0	3	3	3			
12.	9731111	73 229 ОП МЗ Н-011	Межмуниципальное	Новоспасский	" М-5 ""Урал""-Новая Лава"	IV	0	15.4	11.5	11.5			
13.	9731112	73 229 ОП МЗ Н-012	Межмуниципальное	Новоспасский	" ""Солдатская Ташла-Кузоватово-Новоспасское-Радищево-Старая Кулатка-граница области""-Комаровка"	IV	0	5.1	5.1	5.1			
14.	9731113	73 229 ОП МЗ Н-013	Межмуниципальное	Новоспасский	" М-5 ""Урал""-Алакаевка"	IV	0	11.6	11.6	11.6			
15.	9731114	73 229 ОП МЗ Н-014	Межмуниципальное	Новоспасский	" М-5 ""Урал""-Старое Томышево"	IV	0	2	2	2			
16.	9731115	73 229 ОП МЗ Н-015	Межмуниципальное	Новоспасский	 Самайкино-Однодворцы	IV	0	4.8	4.8	4.8			
17.	9731115	73 229 ОП МЗ Н-016	Межмуниципальное	Новоспасский	Алакаевка-Лобановка	V	0	2.833	2.833			2.833	
Итого по Новоспасскому району									172.374	155.23	0	17.144	0
1.	4001434	73 ОП РЗ К-1434	Региональное	Павловский	 Бестужевка-Барыш-Николаевка-Павловка-граница области	III	141.09	186.577	45.487	45.487			
2.	4001439	73 ОП РЗ К-1439	Региональное	Павловский	 Павловка-Старая Кулатка	IV	0	21.22	21.22	21.22			
3.	9731201	73 232 ОП МЗ Н-001	Межмуниципальное	Павловский	" ""Бестужевка-Барыш-Николаевка-Павловка-граница области""-Холстовка"	IV	0	1.787	1.787	1.787			
4.	9731202	73 232 ОП МЗ Н-002	Межмуниципальное	Павловский	" ""Бестужевка-Барыш-Николаевка-Павловка-граница области""-Октябрьское"	IV	0	1.6	1.6	1.6			
5.	9731203	73 232 ОП МЗ Н-003	Межмуниципальное	Павловский	" ""Бестужевка-Барыш-Николаевка-Павловка-граница области""-Кузнецк"	"IV (0-6,2)
V (6,2-9,235)"	0	9.255	9.255	6.2		3.055	
6.	9731204	73 232 ОП МЗ Н-004	Межмуниципальное	Павловский	" ""Бестужевка-Барыш-Николаевка-Павловка-граница области""-Шалкино"	IV	0	1	1			1	
7.	9731205	73 232 ОП МЗ Н-005	Межмуниципальное	Павловский	 Баклуши-Плетьма	IV	0	4.2	4.2	4.2			
8.	9731206	73 232 ОП МЗ Н-006	Межмуниципальное	Павловский	" ""Павловка-Старая Кулатка""-Гремучий"	IV	0	1.8	1.8	1.8			
9.	9731207	73 232 ОП МЗ Н-007	Межмуниципальное	Павловский	" ""Павловка-Старая Кулатка""-Шиковка"	IV	0	1.4	1.4	1.4			
10.	9731208	73 232 ОП МЗ Н-008	Межмуниципальное	Павловский	" ""Павловка-Старая Кулатка""-Шаховское-Красная Поляна"	IV	0	10.646	10.646	4.216		6.43	
11.	9731209	73 232 ОП МЗ Н-009	Межмуниципальное	Павловский	 Татарский Шмалак-Мордовский Шмалак	IV	0	4.7	4.7	4		0.7	
12.	9731210	73 232 ОП МЗ Н-010	Межмуниципальное	Павловский	 Павловка-Баклуши-Муратовка	IV	0	15.87	15.87	15.87			
13.	9731211	73 232 ОП МЗ Н-011	Межмуниципальное	Павловский	 Новая Камаевка-Старое Чирково	IV	0	17.127	17.127	17.127			
14.	9731212	73 232 ОП МЗ Н-012	Межмуниципальное	Павловский	Павловка – Евлейка	IV	0	9.204	9.204	9.204			
15.	9731213	73 232 ОП МЗ Н-013	Межмуниципальное	Павловский	" ""Новая Камаевка-Старое Чирково""-Старый Пичеур"	IV	0	1.157	1.157	1.157			
16.	9731214	73 232 ОП МЗ Н-014	Межмуниципальное	Павловский	" ""Новая Камаевка-Старое Чирково""-Лапаевка"	IV	0	2.7	2.7			2.7	
17.	9731215	73 232 ОП МЗ Н-015	Межмуниципальное	Павловский	" ""Новая Камаевка-Старое Чирково""-Новый Пичеур"	IV	0	1.4	1.4	1.4			
18.	9731216	73 232 ОП МЗ Н-016	Межмуниципальное	Павловский	" ""Новая Камаевка-Старое Чирково""-Камаевка"	IV	0	1.4	1.4	1.4			
19.	9731217	73 232 ОП МЗ Н-017	Межмуниципальное	Павловский	" ""Татарский Шмалак-Мордовский Шмалак""- Татарский Шмалак"	IV	0	0.3	0.3	0.3			
20.	9731218	73 232 ОП МЗ Н-018	Межмуниципальное	Павловский	 Баклуши-Плетьма-Сытинка	V	0	5.8	5.8	1		4.8	
Итого по Павловскому району									158.053	139.368	0	18.685	0
1.	4001427	73 ОП РЗ К-1427	Региональное	Радищевский	 Солдатская Ташла-Кузоватово-Новоспасское-Радищево-Старая Кулатка-граница области	IV	139.72	175.77	36.05	36.05			
2.	9730915	73 225 ОП МЗ Н-015	Межмуниципальное	Радищевский	" М-5 ""Урал""-Сухая Терешка"	IV	10.4	12.2	1.8	1.8			
3.	9731301	73 234 ОП МЗ Н-001	Межмуниципальное	Радищевский	 Нижняя Маза-Дмитриевка	IV	0	15.96	15.96	15.96			
4.	9731302	73 234 ОП МЗ Н-002	Межмуниципальное	Радищевский	 Радищево-Адоевщина	IV	0	9.24	9.24	9.24			
5.	9731305	73 234 ОП МЗ Н-003	Межмуниципальное	Радищевский	" ""Солдатская Ташла-Кузоватово-Новоспасское-Радищево-Старая Кулатка-граница области""-Радищево"	IV	0	3.12	3.12	3.12			
6.	9731307	73 234 ОП МЗ Н-004	Межмуниципальное	Радищевский	" ""Сызрань-Саратов-Волгоград""-Мордовская Карагужа"	IV	0	4.3	4.3	4.3			
7.	9731308	73 234 ОП МЗ Н-005	Межмуниципальное	Радищевский	" ""Мордовская Карагужа-Ореховка""-Володарский"	IV	0	4.6	4.6	4.6			
8.	9731309	73 234 ОП МЗ Н-006	Межмуниципальное	Радищевский	 Верхняя Маза-Средниково-Ореховка-ст. Рябина	IV	0	28.205	28.205	28.205			
9.	9731310	73 234 ОП МЗ Н-007	Межмуниципальное	Радищевский	 Радищево-Новая Дмитриевка-граница области	IV	0	17.7	17.7	8.3		9.4	
10.	9731311	73 234 ОП МЗ Н-008	Межмуниципальное	Радищевский	Ст. Рябина – Вязовка	IV	0	9.335	9.335	9.335			
11.	9731312	73 234 ОП МЗ Н-009	Межмуниципальное	Радищевский	" ""Верхняя Маза-Средниково-Ореховка-ст. Рябина""-Софьино"	IV	0	2.4	2.4	2.4			
12.	9731313	73 234 ОП МЗ Н-010	Межмуниципальное	Радищевский	 Калиновка-Паньшино	IV	0	10	10	6		4	
13.	9731314	73 234 ОП МЗ Н-011	Межмуниципальное	Радищевский	" ""Верхняя Маза-Средниково-Ореховка-ст. Рябина""-Волчанка"	IV	0	6.8	6.8	6.8			
14.	9731315	73 234 ОП МЗ Н-012	Межмуниципальное	Радищевский	" ""Сызрань-Саратов-Волгоград""-Володарский"	IV	0	1.7	1.7	1.7			
15.	9731316	73 234 ОП МЗ Н-013	Межмуниципальное	Радищевский	 Кубра-Калиновка	IV	0	2.158	2.158	2.158			
16.	9731317	73 234 ОП МЗ Н-014	Межмуниципальное	Радищевский	 Мордовская Карагужа-Ореховка	IV	0	14	14			14	
17.	9731318	73 234 ОП МЗ Н-015	Межмуниципальное	Радищевский	 Кубра-Вишневый	IV	0	4.3	4.3	4.3			
18.	9731320	73 239 ОП МЗ Н-001	Межмуниципальное	Радищевский	" ""Солдатская Ташла-Кузоватово-Новоспасское-Радищево-Старая Кулатка-граница области""-Старое Зеленое-Вязовый Гай"	IV	0	6.8	6.8	6.8			
19.	9731321	73 234 ОП МЗ Н-016	Межмуниципальное	Радищевский	" ""Солдатская Ташла-Кузоватово-Новоспасское-Радищево-Старая Кулатка-граница области""-Верхняя Маза"	V	0	2	2	2			
20.	9731505	73 234 ОП МЗ Н-017	Межмуниципальное	Радищевский	Дмитриевка-Гремячий	IV	0	5.78	5.78	5.78			
21.	9731505	73 239 ОП МЗ Н-006	Межмуниципальное	Радищевский	 Средняя Терешка-Кирюшкино-Адоевщина	IV	12.144	15.552	3.408	3.408			
22.		73 234 ОП МЗ Н-018	Межмуниципальное	Радищевский	Подъезд к р.п. Радищево		0	2.35	2.35	2.35			
Итого по Радищевскому району									192.006	164.606	0	27.4	0
1.	4001441	73 ОП РЗ К-1441	Региональное	Сенгилеевский	 Большие Ключищи-Сенгилей-Елаур-Молвино-Байдулино	III	10.405	82.67	72.265	72.265			
2.	9731401	73 236 ОП МЗ Н-001	Межмуниципальное	Сенгилеевский	 Елаур-Русская Бектяшка	IV	0	10.22	10.22	10.22			
3.	9731402	73 236 ОП МЗ Н-002	Межмуниципальное	Сенгилеевский	" ""Большие Ключищи-Сенгилей-Елаур-Молвино-Байдулино""-Алешкино-Вырыстайкино-Русская Бектяшка"	IV	0	18.385	18.385	18.385			
4.	9731403	73 236 ОП МЗ Н-003	Межмуниципальное	Сенгилеевский	 Русская Бектяшка-Бекетовка	IV	0	7.405	7.405	6.565		0.84	
5.	9731404	73 236 ОП МЗ Н-004	Межмуниципальное	Сенгилеевский	" ""Большие Ключищи-Сенгилей-Елаур-Молвино-Байдулино""-завод силикатных изделий"	IV	0	9.785	9.785	9.785			
6.	9731405	73 236 ОП МЗ Н-005	Межмуниципальное	Сенгилеевский	" ""Большие Ключищи-Сенгилей-Елаур-Молвино-Байдулино""-Екатериновка"	IV	0	3.9	3.9	3.9			
7.	9731406	73 236 ОП МЗ Н-006	Межмуниципальное	Сенгилеевский	" ""Большие Ключищи-Сенгилей-Елаур-Молвино-Байдулино""-Шиловка"	IV	0	9.736	9.736	9.736			
8.	9731407	73 236 ОП МЗ Н-007	Межмуниципальное	Сенгилеевский	" ""Большие Ключищи-Сенгилей-Елаур-Молвино-Байдулино""-Каранино"	IV	0	2	2	2			
9.	9731408	73 236 ОП МЗ Н-008	Межмуниципальное	Сенгилеевский	" ""Большие Ключищи-Сенгилей-Елаур-Молвино-Байдулино""-ДРСУ"	IV	0	0.5	0.5	0.5			
10.	9731409	73 236 ОП МЗ Н-009	Межмуниципальное	Сенгилеевский	" ""Большие Ключищи-Сенгилей-Елаур-Молвино-Байдулино""-Никольское"	IV	0	5.7	5.7	5.7			
11.	9731410	73 236 ОП МЗ Н-010	Межмуниципальное	Сенгилеевский	 Сенгилей-Индом	IV	0	7.65	7.65	7.65			
12.	9731411	73 236 ОП МЗ Н-011	Межмуниципальное	Сенгилеевский	 Тушна-Артюшкино	IV	0	10.4	10.4	10.4			
13.	9731412	73 252 ОП МЗ Н-001	Межмуниципальное	Сенгилеевский	 Потапиха-Криуши	IV	0	3.9	3.9	3.9			
14.	9731413	73 236 ОП МЗ Н-012	Межмуниципальное	Сенгилеевский	" ""Русская Бектяшка-Бекетовка""-Мордовская Бектяшка"	IV	0	4.175	4.175	4.175			
15.	9731414	73 236 ОП МЗ Н-013	Межмуниципальное	Сенгилеевский	 Мордовская Бектяшка-граница области	IV	0	3.14	3.14			3.14	
16.	9731415	73 236 ОП МЗ Н-014	Межмуниципальное	Сенгилеевский	 Артюшкино-Кучуры	IV	0	2	2	2			
17.	9731416	73 236 ОП МЗ Н-015	Межмуниципальное	Сенгилеевский	 Подъезд к Сенгилеевскому цемзаводу	IV	0	6.28	6.28	6.28			
18.		73 236 ОП МЗ Н-016	Межмуниципальное	Сенгилеевский	Силикатный –Кучуры		0	5.146	5.146	1.357			3.789
Итого по Сенгилеевскому району									182.587	174.818	0	3.98	3.789
1.	4001427	73 ОП РЗ К-1427	Региональное	Старокулаткинский	 Солдатская Ташла-Кузоватово-Новоспасское-Радищево-Старая Кулатка-граница области	IV	175.77	201.966	26.196	26.196			
2.	4001439	73 ОП РЗ К-1439	Региональное	Старокулаткинский	 Павловка-Старая Кулатка	IV	21.22	43.374	22.154	22.154			
3.	9731320	73 239 ОП МЗ Н-001	Межмуниципальное	Старокулаткинский	" ""Солдатская Ташла-Кузоватово-Новоспасское-Радищево-Старая Кулатка-граница области""-Старое Зеленое-Вязовый Гай"	IV	6.8	26	19.2	19.2			
4.	9731501	73 239 ОП МЗ Н-002	Межмуниципальное	Старокулаткинский	 Старая Кулатка-Сухая Терешка	IV	0	27.764	26.281	26.281			
5.	9731502	73 239 ОП МЗ Н-003	Межмуниципальное	Старокулаткинский	 Старая Кулатка-Бахтеевка	IV	0	12.7	12.7	12.7			
6.	9731503	73 239 ОП МЗ Н-004	Межмуниципальное	Старокулаткинский	 Старая Кулатка-Новые Зимницы	IV	0	5	5	5			
7.	9731504	73 239 ОП МЗ Н-005	Межмуниципальное	Старокулаткинский	 Средняя Терешка-Верхняя Терешка	IV	0	10.1	10.1	10.1			
8.	9731505	73 239 ОП МЗ Н-006	Межмуниципальное	Старокулаткинский	 Средняя Терешка-Кирюшкино-Адоевщина	IV	0	12.144	12.144	12.144			
9.		74 239 ОП МЗ Н-007	Межмуниципальное	Старокулаткинский	Старый Атлаш - Мосеевка	"IV (0-2,1)
V (2,1-7,3)"	0	7.3	7.3			2.1	5.2
10.	9731507	73 239 ОП МЗ Н-008	Межмуниципальное	Старокулаткинский	" ""Павловка-Старая Кулатка""-Новый Мостяк"	IV	0	1.4	1.4	1.4			
11.	9731508	73 239 ОП МЗ Н-009	Межмуниципальное	Старокулаткинский	 Старый Мостяк-Мосеевка	IV	0	10.1	10.1	10.1			
12.	9731509	73 239 ОП МЗ Н-010	Межмуниципальное	Старокулаткинский	 Новый Мостяк-Старый Атлаш	IV	0	12.74	12.74	12.74			
13.	9731510	73 239 ОП МЗ Н-011	Межмуниципальное	Старокулаткинский	 Старое Зеленое-Новое Зеленое	IV	0	7.8	7.8	7.8			
14.	9731511	73 239 ОП МЗ Н-012	Межмуниципальное	Старокулаткинский	" ""Старая Кулатка-Бахтеевка""-аэропорт"	IV	0	1	1	1			
15.	9731513	73 239 ОП МЗ Н-013	Межмуниципальное	Старокулаткинский	 Старая Яндовка-Кармалей-Старый Атлаш	"IV (0-13,0)
V (13,0-14,6)"	0	14.6	14.6	7.8		5.2	1.6
16.	9731514	73 239 ОП МЗ Н-014	Межмуниципальное	Старокулаткинский	" ""Солдатская Ташла-Кузоватово-Новоспасское-Радищево-Старая Кулатка-граница области-Старое Зеленое-Вязовый Гай""-Зарыклей"	IV	0	2.2	2.2	2.2			
17.	9731516	73 239 ОП МЗ Н-015	Межмуниципальное	Старокулаткинский	 Обход р.п. Старая Кулатка	IV	0	5.498	5.498	5.498			
18.	9731517	73 239 ОП МЗ Н-016	Межмуниципальное	Старокулаткинский	" ""Солдатская Ташла-Кузоватово-Новоспасское-Радищево-Старая Кулатка-граница области""-Кольцовка "	IV	0	1	1			1	
19.	9731518	73 239 ОП МЗ Н-017	Межмуниципальное	Старокулаткинский	" ""Павловка-Старая Кулатка""-Старый Мостяк "	IV	0	1.44	1.44	1.44			
20.	9731519	73 239 ОП МЗ Н-018	Межмуниципальное	Старокулаткинский	 Подъезд к с. Усть-Кулатка 	IV	0	1.8	1.8	1.8			
21.	9731520	73 239 ОП МЗ Н-019	Межмуниципальное	Старокулаткинский	" ""Старая Кулатка-Сухая Терешка""-Новая Терешка"	IV	0	2	2	2			
22.	9731521	73 239 ОП МЗ Н-020	Межмуниципальное	Старокулаткинский	 Подъезд к с. Кирюшкино	IV	0	1.58	1.58	1.58			
23.	9731522	73 239 ОП МЗ Н-021	Межмуниципальное	Старокулаткинский	 Подъезд к с. Новая Терешка	IV	0	1.8	1.8	1.8			
24.	9731522	73 239 ОП МЗ Н-022	Межмуниципальное	Старокулаткинский	Подъезд к с. Старый Атлаш	V	0	2.2	2.2	2.2			
25.		73 239 ОП МЗ Н-023	Межмуниципальное	Старокулаткинский	Подъезд в с. Новые Зимницы		0	0.889	0.889	0.889			
Итого по Старокулаткинскому району									209.12	194.02	0	8.3	6.8
