№ п/п	код дороги	Идентификационный номер	Значение дороги	Наименование района	Наименование автомобильной дороги	Категория автомо-бильной дороги	Адрес начала участка, км	Адрес конца участка, км	общая	асфальто-бетон	бетон и железо- бетон	щебень	грунт
Итого по Барышскому району									302.57	273.89	0	28.68	0
1.	4001430	73 ОП РЗ К-1430	Региональное	Вешкаймский	 Барыш-Инза-Карсун-Урено-Карлинское	III	107.3	108.6	1.3	1.3			
2.	4001431	73 ОП РЗ К-1431	Региональное	Вешкаймский	" ""Саранск-Сурское-Ульяновск""-Вальдиватское-Карсун-Вешкайма-Беклемишево-Старотимошкино"	IV	30.56	86.36	55.8	55.8			
3.	4001432	73 ОП РЗ К-1432	Региональное	Вешкаймский	 Урено-Карлинское-Чуфарово-Вешкайма-Барыш 	IV	24.5	69.8	45.133	45.133			
4.	9730301	73 207 ОП МЗ Н-001	Межмуниципальное	Вешкаймский	 Каргино-Шарлово	IV	0	17.729	17.729	17.729			
5.	9730302	73 207 ОП МЗ Н-002	Межмуниципальное	Вешкаймский	" ""Барыш-Инза-Карсун-Урено-Карлинское""-Старое Погорелово-Шарлово"	IV	0.6	24.522	23.922	23.922			
6.	9730303	73 207 ОП МЗ Н-003	Межмуниципальное	Вешкаймский	" Залесный (совхоз ""Дружный"")-Вешкайма"	IV	0	5.428	5.428	5.428			
7.	9730304	73 207 ОП МЗ Н-004	Межмуниципальное	Вешкаймский	 Вешкайма-Бекетовка	IV	0	12.748	12.748	12.748			
8.	9730305	73 207 ОП МЗ Н-005	Межмуниципальное	Вешкаймский	 Красный Бор-Котяковка	IV	0	5.574	5.574	5.574			
9.	9730306	73 207 ОП МЗ Н-006	Межмуниципальное	Вешкаймский	 Каргино-Коченяевка	IV	0	8.935	8.935	8.935			
10.	9730307	73 207 ОП МЗ Н-007	Межмуниципальное	Вешкаймский	 Стемасс-Чуфарово	IV	0	17.346	17.346	17.346			
11.	9730308	73 207 ОП МЗ Н-008	Межмуниципальное	Вешкаймский	" ""Урено-Карлинское-Чуфарово-Вешкайма-Барыш""-Озерки"	IV	0	2	2	2			
12.	9730309	73 207 ОП МЗ Н-009	Межмуниципальное	Вешкаймский	" ""Урено-Карлинское-Чуфарово-Вешкайма-Барыш""-Нижняя Туарма-Мухино"	IV	0	6.2	6.2	6.2			
13.	9730311	73 207 ОП МЗ Н-010	Межмуниципальное	Вешкаймский	 Ховрино-Белый Ключ	IV	0	5.323	5.323	5.323			
14.	9730313	73 207 ОП МЗ Н-011	Межмуниципальное	Вешкаймский	 Подъезд к п. Забарышский 	IV	0	1.8	1.8			1.8	
15.	9730314	73 207 ОП МЗ Н-012	Межмуниципальное	Вешкаймский	" ""Саранск-Сурское-Ульяновск""-Вальдиватское-Карсун-Вешкайма-Беклемишево-Старое Тимошкино""-Беклемишево"	V	0	2.5	2.5			2.5	
16.	9730315	73 207 ОП МЗ Н-013	Межмуниципальное	Вешкаймский	 Подъезд к с. Араповка	V	0	1.975	1.975			1.975	
17.	9730316	73 207 ОП МЗ Н-014	Межмуниципальное	Вешкаймский	 Подъезд к с. Ховрино	V	0	1.042	1.042			1.042	
18.	9730317	73 207 ОП МЗ Н-015	Межмуниципальное	Вешкаймский	 Подъезд к с. Белый Ключ	V	0	1.319	1.319			1.319	
19.	9730318	73 207 ОП МЗ Н-016	Межмуниципальное	Вешкаймский	 Подъезд к с.Вырыпаевка	V	0	0.7	0.7			0.7	
20.	9730318	73 207 ОП МЗ Н-017	Межмуниципальное	Вешкаймский	"""Каргино-Шарлово""- д. Шарлово"	V	0	0.5	0.5			0.5	
21.	9730318	73 207 ОП МЗ Н-018	Межмуниципальное	Вешкаймский	Ахматово-Белый Ключ	V	0	2.2	2.2			2.2	
Итого по Вешкаймскому району									219.474	207.438	0	12.036	0
1.	4000049	73 ОП РЗ Р-049	Региональное	Инзенский	 Инза-Оськино-граница области	III	0	16.736	16.736	16.736			
2.	4001430	73 ОП РЗ К-1430	Региональное	Инзенский	 Барыш-Инза-Карсун-Урено-Карлинское	III	33.93	86.1	52.17	52.17			
3.	9730101	73 210 ОП МЗ Н-001	Межмуниципальное	Инзенский	 Инза-Папузы	IV	0	32.7	32.7	28.56		4.14	
4.	9730102	73 202 ОП МЗ Н-001	Межмуниципальное	Инзенский	 Базарный Сызган-Глотовка	IV	16	29.169	13.169	13.169			
5.	9730401	73 210 ОП МЗ Н-002	Межмуниципальное	Инзенский	 Труслейка-Тияпино-Чамзинка	IV	0	67.365	67.365	67.365			
6.	9730404	73 210 ОП МЗ Н-003	Межмуниципальное	Инзенский	 Пятино-Первомайское	IV	0	18.5	18.5	18.5			
7.	9730405	73 210 ОП МЗ Н-004	Межмуниципальное	Инзенский	" ""Барыш-Инза-Карсун-Урено-Карлинское""-Юлово"	IV	0	6.5	6.5			6.5	
8.	9730406	73 210 ОП МЗ Н-005	Межмуниципальное	Инзенский	 Валгуссы-Палатово	IV	0	5.69	5.69	5.69			
9.	9730407	73 210 ОП МЗ Н-006	Межмуниципальное	Инзенский	" ""Инза-Папузы""-Репьевка-Бояркино"	IV	0	6.5	6.5	6.5			
10.	9730408	73 210 ОП МЗ Н-007	Межмуниципальное	Инзенский	 Коржевка-Новосурск-Стрельниково	IV	0	15.68	15.68			15.68	
11.	9730409	73 210 ОП МЗ Н-008	Межмуниципальное	Инзенский	 Оськино-Панциревка	IV	0	4.7	4.7	4.7			
12.	9730411	73 210 ОП МЗ Н-009	Межмуниципальное	Инзенский	 Аргаш-Городище-Налитово-Аксаур	IV	0	18	18			18	
13.	9730412	73 210 ОП МЗ Н-010	Межмуниципальное	Инзенский	" ""Базарный Сызган-Глотовка""-Неклюдовский"	IV	0	2	2	2			
14.	9730413	73 210 ОП МЗ Н-011	Межмуниципальное	Инзенский	" ""Инза-Оськино-граница области""-Забалуйка"	IV	0	2.2	2.2	2.2			
15.	9730414	73 210 ОП МЗ Н-012	Межмуниципальное	Инзенский	 Панциревка-Дмитриевка	IV	0	3	3	3			
16.	9730507	73 214 ОП МЗ Н-007	Межмуниципальное	Инзенский	 Сосновка-Глотовка	IV	10.5	17.912	7.412	7.412			
17.	9730507	73 210 ОП МЗ Н-013	Межмуниципальное	Инзенский	"""Барыш-Инза-Карсун-Урено-Карлинское""-Борисова Поляна"	V	0	1.8	1.8			1.8	
18.	9730507	73 210 ОП МЗ Н-014	Межмуниципальное	Инзенский	Тияпино-Николаевка-граница области	IV	0	5.095	5.095	5.095			
19.		73 210 ОП МЗ Н-015	Межмуниципальное	Инзенский	Автодорога улица Чапаева – улица Молодёжная – улица  Герцена – до пересечения с осью автомобильной дороги Инза – Аристовка		0	3.704	3.704				3.704
20.		73 210 ОП МЗ Н-016	Межмуниципальное	Инзенский	Автодорога от пересечения               улицы Толстого и                улицы Менделеева – улицы Карла Либкнехта до пересечения автодороги «Чапаева – Герцена»		0	0.789	0.789				0.789
21.		73 210 ОП МЗ Н-017	Межмуниципальное	Инзенский	Труслейка- разъезд Дубёнки		0	7.516	7.516	2.5372			4.9788
Итого по Инзенскому району									291.226	235.6342	0	46.12	9.4718
1.	4001430	73 ОП РЗ К-1430	Региональное	Карсунский	 Барыш-Инза-Карсун-Урено-Карлинское	III	86.1	141.335	53.935	53.935			
2.	4001431	73 ОП РЗ К-1431	Региональное	Карсунский	" ""Саранск-Сурское-Ульяновск""-Вальдиватское-Карсун-Вешкайма-Беклемишево-Старотимошкино"	IV	0	30.56	28.682	28.682			
3.	4001432	73 ОП РЗ К-1432	Региональное	Карсунский	 Урено-Карлинское-Чуфарово-Вешкайма-Барыш 	III	0	9.7	9.7	9.7			
4.	4001442	73 244 ОП МЗ Н-001	Межмуниципальное	Карсунский	 Усть-Урень-Астрадамовка-Шатрашаны	IV	0	8.1	8.1	8.1			
5.	9730302	73 207 ОП МЗ Н-002	Межмуниципальное	Карсунский	" ""Барыш-Инза-Карсун-Урено-Карлинское""-Старое Погорелово-Шарлово"	IV	0	0.6	0.6	0.6			
6.	9730408	73 210 ОП МЗ Н-007	Межмуниципальное	Карсунский	Коржевка-Новосурск-Стрельниково	IV	15.68	17.454	1.774			1.774	
7.	9730501	73 214 ОП МЗ Н-001	Межмуниципальное	Карсунский	 Карсун-Ростислаевка	IV	0	29.38	29.38	25.29		4.09	
8.	9730502	73 214 ОП МЗ Н-002	Межмуниципальное	Карсунский	 Новое Погорелово-Сухой Карсун	IV	0	12.488	12.488	12.488			
9.	9730503	73 214 ОП МЗ Н-003	Межмуниципальное	Карсунский	 Карсун-Усть-Урень	"IV (0-15,8)
V (15,8-19,3)"	0	19.3	19.3	10.5		5.3	3.5
10.	9730504	73 214 ОП МЗ Н-004	Межмуниципальное	Карсунский	 Урено-Карлинское-Теньковка	IV	0	6.9	6.9	6.9			
11.	9730505	73 214 ОП МЗ Н-005	Межмуниципальное	Карсунский	 Русские Горенки-Кадышево	IV	0	9.918	9.918	9.918			
12.	9730506	73 214 ОП МЗ Н-006	Межмуниципальное	Карсунский	" ""Барыш-Инза-Карсун-Урено-Карлинское""-Сосновка"	IV	0	1.432	1.432	1.432			
13.	9730507	73 214 ОП МЗ Н-007	Межмуниципальное	Карсунский	 Сосновка-Глотовка	IV	0	10.5	10.5	10.5			
14.	9730508	73 214 ОП МЗ Н-008	Межмуниципальное	Карсунский	 Большие Поселки-Комаровка	IV	0	6.44	6.44	6.44			
15.	9730509	73 214 ОП МЗ Н-009	Межмуниципальное	Карсунский	" ""Саранск-Сурское-Ульяновск""-Вальдиватское-Карсун-Вешкайма-Беклемишево-Старотимошкино""-Потьма"	IV	0	3	3	3			
16.	9730510	73 214 ОП МЗ Н-010	Межмуниципальное	Карсунский	 Таволжанка-Чулочно-носочная фабрика	IV	0	2.8	2.8	2.8			
17.	9730511	73 214 ОП МЗ Н-011	Межмуниципальное	Карсунский	" ""Саранск-Сурское-Ульяновск""-Языково"	IV	0	1.97	1.97	1.97			
18.	9730512	73 214 ОП МЗ Н-012	Межмуниципальное	Карсунский	" ""Саранск-Сурское-Ульяновск""-Малая Кандарать"	IV	0	2.3	2.3	2.3			
19.	9730513	73 214 ОП МЗ Н-013	Межмуниципальное	Карсунский	" ""Барыш-Инза-Карсун-Урено-Карлинское""-Краснополка"	IV	0	2.4	2.4	1.1		1.3	
20.	9730514	73 214 ОП МЗ Н-014	Межмуниципальное	Карсунский	" ""Саранск-Сурское-Ульяновск""-Большая Кандарать"	IV	0	2.5	2.5	2.5			
21.	9730515	73 244 ОП МЗ Н-003	Межмуниципальное	Карсунский	" ""Усть-Урень-Астрадамовка-Шатрашаны""-Кезьмино"	IV	0	5.4	5.4	5.4			
22.	9730516	73 214 ОП МЗ Н-015	Межмуниципальное	Карсунский	 Татарские Горенки-Русская Голышевка	IV	0	3.24	3.24	3.24			
23.	9730517	73 214 ОП МЗ Н-016	Межмуниципальное	Карсунский	 Сосновка-Ермаки	IV	0	1.8	1.8			1.8	
24.	9730518	73 214 ОП МЗ Н-017	Межмуниципальное	Карсунский	" ""Карсун-Усть-Уренка"" - Усть-Уренка"	IV	0	1.5	1.5			1.5	
25.	9730519	73 214 ОП МЗ Н-018	Межмуниципальное	Карсунский	" ""Барыш-Инза-Карсун-Урено-Карлинское""-Ивановский"	IV	0	1.64	1.64			1.64	
26.	9730520	73 214 ОП МЗ Н-019	Межмуниципальное	Карсунский	"""Барыш-Инза-Карсун-Урено-Карлинское""-Уразовка"	IV	0	0.98	0.98	0.98			
Итого по Карсунскому району									228.679	207.775	0	17.404	3.5
1.	4000061	73 ОП РЗ К-0061	Региональное	Кузоватовский	 Кузоватово-Безводовка-Студенец-граница области	IV	0	34.137	34.137	34.137			
2.	4001427	73 ОП РЗ К-1427	Региональное	Кузоватовский	 Солдатская Ташла-Кузоватово-Новоспасское-Радищево-Старая Кулатка-граница области	"III (0-97,5)
IV (97,5-100,37)"	10.4	100.37	88.84	88.84			
3.	4001429	73 ОП РЗ К-1429	Региональное	Кузоватовский	 Цильна-Большое Нагаткино-Новоникулино-Тагай-Майна-Игнатовка-Чертановка	IV	133	141.668	8.668	8.668			
4.	4001434	73 ОП РЗ К-1434	Региональное	Кузоватовский	 Бестужевка-Барыш-Николаевка-Павловка-граница области	III	0	1.425	1.425	1.425			
5.	9730601	73 216 ОП МЗ Н-001	Межмуниципальное	Кузоватовский	 Томылово-Безводовка	IV	0	4.4	4.4	4.4			
6.	9730602	73 216 ОП МЗ Н-002	Межмуниципальное	Кузоватовский	 Кивать-Никольское	IV	0	14.934	14.934	14.934			
7.	9730603	73 216 ОП МЗ Н-003	Межмуниципальное	Кузоватовский	 Кузоватово-Налейка-Лесное Матюнино	IV	0	24.162	24.162	24.162			
8.	9730604	73 216 ОП МЗ Н-004	Межмуниципальное	Кузоватовский	 Коромысловка-Уваровка	IV	0	8.7	8.7	8.7			
9.	9730605	73 216 ОП МЗ Н-005	Межмуниципальное	Кузоватовский	 Кузоватово-Баевка	IV	0	6.2	6.2	6.2			
10.	9730606	73 216 ОП МЗ Н-006	Межмуниципальное	Кузоватовский	Безводовка – Малая Борла	IV	0	8.444	8.444	8.444			
11.	9730607	73 216 ОП МЗ Н-007	Межмуниципальное	Кузоватовский	 Лесное Матюнино-Жедрино	IV	0	6.6	6.6			1	5.6
12.	9730608	73 216 ОП МЗ Н-008	Межмуниципальное	Кузоватовский	" ""Кузоватово-Безводовка-Студенец-граница области""-Студенец"	IV	0	1	1	1			
13.	9730609	73 216 ОП МЗ Н-009	Межмуниципальное	Кузоватовский	" ""Солдатская Ташла-Кузоватово-Новоспасское-Радищево-Старая Кулатка-граница области""-Стоговка"	IV	0	0.9	0.9	0.9			
14.	9730610	73 216 ОП МЗ Н-010	Межмуниципальное	Кузоватовский	" ""Солдатская Ташла-Кузоватово-Новоспасское-Радищево-Старая Кулатка-граница области""-Спешневка"	IV	0	0.7	0.7	0.7			
15.	9730611	73 216 ОП МЗ Н-011	Межмуниципальное	Кузоватовский	" ""Солдатская Ташла-Кузоватово-Новоспасское-Радищево-Старая Кулатка-граница области""-Первомайский"	IV	0	4.5	4.5	4.5			
16.	9730612	73 216 ОП МЗ Н-012	Межмуниципальное	Кузоватовский	" ""Солдатская Ташла-Кузоватово-Новоспасское-Радищево-Старая Кулатка-граница области""-Хвостиха"	IV	0	4.121	4.121	2.9			1.221
17.	9730613	73 216 ОП МЗ Н-013	Межмуниципальное	Кузоватовский	" ""Солдатская Ташла-Кузоватово-Новоспасское-Радищево-Старая Кулатка-граница области""-Чириково"	IV	0	4.4	4.4	4.4			
18.	9730614	73 216 ОП МЗ Н-014	Межмуниципальное	Кузоватовский	" ""Солдатская Ташла-Кузоватово-Новоспасское-Радищево-Старая Кулатка-граница области""-Смышляевка"	IV	0	1.5	1.5	1.5			
19.	9730615	73 216 ОП МЗ Н-015	Межмуниципальное	Кузоватовский	" ""Солдатская Ташла-Кузоватово-Новоспасское-Радищево-Старая Кулатка-граница области""-Красная Балтия"	IV	0	1.7	1.7	1.7			
20.	9730616	73 216 ОП МЗ Н-016	Межмуниципальное	Кузоватовский	 Стоговка-Екатериновка	IV	0	1.1	1.1	1.1			
21.	9730617	73 216 ОП МЗ Н-017	Межмуниципальное	Кузоватовский	 Приволье-Трубетчина-Ерыкла	V	0	14.4	14.4	14.4			
22.	9730618	73 216 ОП МЗ Н-018	Межмуниципальное	Кузоватовский	 Кузоватово –Зеленый Курган	IV	0	4	4			4	
23.	9730709	73 220 ОП МЗ Н-009	Межмуниципальное	Кузоватовский	" ""Саранск-Сурское-Ульяновск""-Репьевка-Космынка-Путиловка-Гимово-Стоговка"	IV	40.4	44.525	4.125	4.125			
24.	9730709	73 216 ОП МЗ Н-019	Межмуниципальное	Кузоватовский	"""Кузоватово-Безводовка-Студенец-граница области""-Озерки"	IV	0	4.772	4.772	4.772			
25.	9730709	73 216 ОП МЗ Н-020	Межмуниципальное	Кузоватовский	Никольское-п. Заводской	IV	0	4.6	4.6	4.6			
Итого по Кузоватовскому району									258.32	246.5	0	5	6.821
1.	4001429	73 ОП РЗ К-1429	Региональное	Майнский	 Цильна-Большое Нагаткино-Новоникулино-Тагай-Майна-Игнатовка-Чертановка	"III (5,92-105,2)
IV (58,5-59,20)
    (105,2-131,5)"	58.5	133	72.115	72.115			
2.	4001432	73 ОП РЗ К-1432	Региональное	Майнский	 Урено-Карлинское-Чуфарово-Вешкайма-Барыш 	III	9.7	24.5	14.8	14.8			
3.	9730701	73 220 ОП МЗ Н-001	Межмуниципальное	Майнский	 Вязовка-Кадышевка-Ляховка	IV	0	17.4	17.4			17.4	
4.	9730702	73 220 ОП МЗ Н-002	Межмуниципальное	Майнский	 Карцевка-Репьёвка Колхозная	IV	0	9.5	9.5	9.5			
5.	9730703	73 220 ОП МЗ Н-003	Межмуниципальное	Майнский	 Майна-Воецкое-совхоз им. Гимова	IV	0	32.64	32.64	32.64			
6.	9730704	73 220 ОП МЗ Н-004	Межмуниципальное	Майнский	 Аксаково-Сущевка	IV	0	6.9	6.9	0.9			6
7.	9730705	73 220 ОП МЗ Н-005	Межмуниципальное	Майнский	 Абрамовка-Комаровка	V	0	2.6	2.6	2.6			
8.	9730706	73 220 ОП МЗ Н-006	Межмуниципальное	Майнский	 Абрамовка-Кадыковка	IV	0	2.5	2.5	2.5			
9.	9730707	73 220 ОП МЗ Н-007	Межмуниципальное	Майнский	 Загоскино-Белое Озеро-Родниковые Пруды	IV	0	9.5	9.5	9.5			
10.	9730708	73 220 ОП МЗ Н-008	Межмуниципальное	Майнский	 Абрамовка-ст. Выры	IV	0	13.38	13.38	13.38			
11.	9730709	73 220 ОП МЗ Н-009	Межмуниципальное	Майнский	" ""Саранск-Сурское-Ульяновск""-Репьевка-Космынка-Путиловка-Гимово-Стоговка"	IV	0	40.4	40.4	40.4			
12.	9730710	73 220 ОП МЗ Н-010	Межмуниципальное	Майнский	 Майна-Аксаково	IV	0	8.9	8.9	8.9			
13.	9730711	73 220 ОП МЗ Н-011	Межмуниципальное	Майнский	 Старое Никулино-Новые Маклауши-Чирикеево	IV	3.9	21.65	17.75	17.75			
14.	9730712	73 220 ОП МЗ Н-012	Межмуниципальное	Майнский	 Майна-Тамбы	IV	0	4.5	4.5	1		3.5	
15.	9730713	73 220 ОП МЗ Н-013	Межмуниципальное	Майнский	 Игнатовка-Сухаревка	IV	0	8.845	8.845	8.845			
16.	9730714	73 220 ОП МЗ Н-014	Межмуниципальное	Майнский	 Игнатовка-Поповка	IV	0	1.4	1.4	1.4			
17.	9730715	73 220 ОП МЗ Н-015	Межмуниципальное	Майнский	 Майна-Новоанненковский-Сущевка	IV	0	20.27	19.865	19.865			
18.	9730716	73 220 ОП МЗ Н-016	Межмуниципальное	Майнский	Старые Маклауши – п. Труд	IV	0	4	4				4
19.	9730717	73 220 ОП МЗ Н-017	Межмуниципальное	Майнский	" ""Саранск-Сурское-Ульяновск""-Тагай"	IV	0	0.766	0.766	0.766			
20.	9730718	73 220 ОП МЗ Н-018	Межмуниципальное	Майнский	" ""Саранск-Сурское-Ульяновск""-Сиуч"	V	0	4.2	4.2	1.6		2.6	
21.	9730719	73 220 ОП МЗ Н-019	Межмуниципальное	Майнский	" ""Саранск-Сурское-Ульяновск""-Стоговка""-Юшанское"	V	0	0.7	0.7	0.7			
22.	9730720	73 220 ОП МЗ Н-020	Межмуниципальное	Майнский	 Подъезд к с. Новочуфаровский 	IV	0	1.12	1.12	1.12			
23.	9730721	73 220 ОП МЗ Н-021	Межмуниципальное	Майнский	" ""Саранск-Сурское-Ульяновск""-Стоговка""-Безречный со съездом к с. Апалиха"	V	0	1.99	1.99	1.19		0.8	
24.	9730721	73 220 ОП МЗ Н-022	Межмуниципальное	Майнский	"""Майна-Новоанненковский-Сущевка""-Малое Жеребятниково"	IV	0	1.246	1.246	1.246			
25.	9730721	73 220 ОП МЗ Н-023	Межмуниципальное	Майнский	Репьевка Космынка-Кадышевка	IV	0	3.3	3.3	3.3			
Итого по Майнскому району									300.317	266.017	0	24.3	10
													
2.	3000240	73 ОП РЗ Р-240	Региональное	Мелекесский	 Алексеевское-Высокий Колок	III	95.4	118.5	23.1	23.1			
3.	4001163	73 ОП РЗ К-1163	Региональное	Мелекесский	 Димитровград-Узюково-Тольятти	III	0	33.585	33.585	33.585			
4.	9730801	73 222 ОП МЗ Н-002	Межмуниципальное	Мелекесский	 Димитровград-Чувашский Сускан	IV	0	47.215	47.215	47.215			
5.	9730802	73 222 ОП МЗ Н-003	Межмуниципальное	Мелекесский	" ""Димитровград-Чувашский Сускан""-Аллагулово"	IV	0	3.2	3.2	3.2			
6.	9730803	73 222 ОП МЗ Н-004	Межмуниципальное	Мелекесский	" ""Димитровград-Чувашский Сускан""-Приморское"	IV	0	5.715	5.715	5.715			
7.	9730804	73 222 ОП МЗ Н-005	Межмуниципальное	Мелекесский	" ""Димитровград-Чувашский Сускан""-Рязаново"	IV	0	3.176	3.176	3.176			
8.	9730805	73 222 ОП МЗ Н-006	Межмуниципальное	Мелекесский	" ""Димитровград-Чувашский Сускан""-Дивный (совхоз ""Правда"")"	IV	0	4.2	4.2	4.2			
9.	9730806	73 222 ОП МЗ Н-007	Межмуниципальное	Мелекесский	" ""Димитровград-Чувашский Сускан""-Александровка"	IV	0	3.2	3.2	3.2			
10.	9730807	73 222 ОП МЗ Н-008	Межмуниципальное	Мелекесский	" ""Димитровград-Узюково-Тольятти""-Верхний Мелекесс"	IV	0	1.1	1.1	1.1			
